No.	Name	Description	Version	Popularity	Likes	Stars	Forks	Issues	Owner	Publisher	License	Last Commit	Repository URL
134	tiengviet	🇻🇳 Converts vietnamese language sign to unsigned easily. 😍 Give me a string vietnamese language, i will respond you string vietnamese unsigned. 👍	0.5.0	93.53650078030171	72	16	1	0	tvc12	4pet.social	BSD-3-Clause	2021-03-27T14:06:50.000Z	https://github.com/tvc12/tiengviet
135	data_connection_checker_tv	A pure Dart library that checks for internet by opening a socket to a list of specified addresses, each with individual port and timeout. Defaults are provided for convenience.	0.3.5-nullsafety	93.41945552280215	26	2	0	0	thorved		NOASSERTION	2021-05-15T16:48:21.000Z	https://github.com/thorved/data_connection_checker
136	intl_translation	Contains code to deal with internationalized/localized messages, date and number formatting and parsing, bi-directional text, and other internationalization issues.	0.18.0	93.31975030345066	68	117	182	28	dart-lang	dart.dev	BSD-3-Clause	2022-12-21T10:13:24.000Z	https://github.com/dart-lang/intl_translation
137	sentry_logging	An integration which adds support for recording log from the logging package.	6.18.1	93.27640020808046	6	603	160	84	getsentry	sentry.io	MIT	2022-12-22T09:59:41.000Z	https://github.com/getsentry/sentry-dart
138	gql_dio_link	Similar to gql_http_link, gql_dio_link is a GQL Terminating Link to execute requests via Dio using JSON	0.2.4	93.0813247789145	20	240	100	57	gql-dart	gql-dart.dev	MIT	2022-12-21T18:48:29.000Z	https://github.com/gql-dart/gql
139	spider	A small dart command-line tool for generating dart references of assets from the assets folder.	4.1.0	93.03363967400729	211	159	14	11	BirjuVachhani	birju.dev	Apache-2.0	2022-11-16T12:47:35.000Z	https://github.com/BirjuVachhani/spider
140	slang	Localization / Internationalization (i18n) solution. Use JSON, YAML or CSV files to create typesafe translations via source generation.	3.7.0	93.00329460724814	82	184	18	10	Tienisto	tienisto.com	MIT	2022-12-19T15:54:13.000Z	https://github.com/Tienisto/slang
141	timing	A simple package for tracking the performance of synchronous and asynchronous actions.	1.0.0	92.94693948326686	14	10	5	2	dart-lang	tools.dart.dev	BSD-3-Clause	2022-11-09T23:30:57.000Z	https://github.com/dart-lang/timing
142	gql_link	A simple and modular AST-based GraphQL request execution interface.	0.5.0+1	92.90358938789666	16	240	100	57	gql-dart	gql-dart.dev	MIT	2022-12-21T18:48:29.000Z	https://github.com/gql-dart/gql
143	dio_logging_interceptor	Logging interceptor for DIO	1.0.1	92.87757933067454	9	1	2	2	granoeste		Apache-2.0	2022-07-08T07:23:58.000Z	https://github.com/granoeste/dio_logging_interceptor
